"Control code","Control name","Control description","Control question","Control activities","Control owners","Control approvers","Required approvals stage","Is ready","Scope","NIST SP 800-53"
"DCF-577","System Security Planning Policy","Montage Marketing Group has a defined policy for system security planning to ensure resources and information systems are established with effective security controls and control enhancements.","Does the organization have a system security plan?","1. Develop and maintain a System Security Planning Policy.
2. Implement each section of the System Security Planning Policy.
3. Develop and maintain a System Security Plan (SSP).","Jon Brown",,"No approvals assigned","Ready","In scope","AC-12-00, AC-17-04, AC-20-00, PL-01-00, PL-02-00, PM-07-00, PM-08-00"
"DCF-583","System Use Notification","Montage Marketing Group displays system use notification to users prior to granting access.","Does the organization implement system use notifications or warning banners before individuals log in to systems?","Implement system use notifications or warning banners prior to log in.","Jon Brown",,"No approvals assigned","Not ready","In scope","AC-08-00"
"DCF-655","Tamper Protection Procedures","Montage Marketing Group has implemented a procedure for protection against systems tampering.","Does the organization implement tamper protection controls on the systems, system components, or system services?","Implement anti-tamper technologies, tools, and techniques.",,,"No approvals assigned","Not ready","Out of scope",
"DCF-174","Telework and Endpoint Devices","Montage Marketing Group has a defined policy that establishes requirements and responsibilities for remote work and the use of company and personal IT devices.","Does the organization have established requirements for personal device use and teleworking?","1. Create and maintain security measures for mobile device use
2. Establish security measures for the protection of information access, processing, and storage from remote sites","Jon Brown",,"No approvals assigned","Not ready","In scope","AC-14-00, AC-19-00, SC-18-00"
"DCF-43","Termination/Offboarding Checklist","Montage Marketing Group uses a termination checklist to ensure that an employee's system access, including physical access, is removed within a specified timeframe and all organization assets (physical or electronic) are properly returned.","Does the organization govern the termination of individual employment?","1. Termination checklist includes removal of system access, destruction and wiping of sensitive information, hardware, etc.
2. Termination checklist includes identification of assets to be returned, and documents the retrieval","Jon Brown",,"No approvals assigned","Ready","In scope","PE-02-00"
"DCF-304","Test Data Removed before System Activation","Test data and test accounts are removed from system components before the system goes into production.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","AC-02-02"
"DCF-621","Test Sanitization","Montage Marketing Group has an established process for testing media sanitization equipment and procedures.","Has sanitization procedures and test sanitization test equipment been defined?","1. Establish a process for testing media sanitization equipment and procedures.
2. Define the frequency for testing sanitization equipment and procedures.",,,"No approvals assigned","Not ready","Out of scope",
"DCF-336","Third Party Remote Access Monitored","Accounts used by third parties to access, support, or maintain system components via remote access are enabled during the time period needed based on documented authorization by management and disabled when not in use. Third-party remote access is monitored by company personnel for unexpected activity.",,,"Jon Brown",,"No approvals assigned","Ready","In scope","AC-02-02, AC-18-01"
"DCF-618","Timely Maintenance Support","Montage Marketing Group has an established process for obtaining maintenance support and/or spare parts for system components.","Does the organization obtain maintenance support and/or spare parts for system components?","1. Define system components for which maintenance support and/or spare parts are obtained.
2. Establish the time period after a failure, within which maintenance support and/or spare parts are to be obtained.","Jon Brown",,"No approvals assigned","Not ready","In scope","MA-06-00"
"DCF-540","Tracking and Response to Data Subject Requests","Montage Marketing Group tracks and manages requests from data subjects, and provides a response to valid requests within appropriate time.","Does the organization properly track and respond to requests by data subjects?","1. Maintain a record of requests from data subjects
2. All related communication, whether written or oral, to the data subject must be concise, transparent, intelligible, and easily accessible
3. Ensure that a response to valid requests is provided within the appropriate time, as defined by applicable rules, regulations, standards, and/or policies. (e.g., GDPR-30 days, CCPA-45 days, etc.)
4. Valid requests from a data subject regarding the processing of their personal data can include: (a) purpose of the processing; (b) categories of personal data concerned; (c) recipients of the data; (d) period of data storage; (e) existence of request for rectification or deletion, or restrictions to processing of the data; (f) right to file a complaint; (g) source of information, where data was not collected from subject directly
5. Inform third parties with whom personal data has been shared of any modification, withdrawal or objections pertaining to the shared data","Jon Brown",,"No approvals assigned","Not ready","In scope","SI-18-04, PM-26-00"
"DCF-604","Transaction Recovery Procedures","Montage Marketing Group has transaction recovery procedures for transaction-based systems.","Has the organization implemented transaction recovery for systems that are transaction bases.?","Implement transaction recovery procedures for transaction-based systems, including the use of mechanisms such as transaction rollback and transaction journaling.","Jon Brown",,"No approvals assigned","Not ready","In scope","CP-10-02"
"DCF-648","Unauthorized Network Services Monitoring and Alert","Montage Marketing Group detects network services that have not been authorized and alerts designated personnel when detected.","Does the organization detect network services that have not been authorized or approved?","1. Define the authorization or approval processes for network services.
2. When unauthorized network service is detected, either initiate an audit or alert designated personnel.
3. If applicable, define designated roles and personnel to be alerted upon detection.",,,"No approvals assigned","Ready","Out of scope",
"DCF-449","Unauthorized Wireless Access Points Detected and Identified","Montage Marketing Group's methodology to detect and identify any unauthorized wireless access points, includes: WLAN cards inserted into system components; portable or mobile devices attached to system components to create a wireless access point; and, wireless devices attached to a network port or network device.","Does the methodology detect and identify any unauthorized wireless access points, including at least the following?
WLAN cards inserted into system components;
Portable or mobile devices attached to system components to create a wireless access point (for example, by USB, etc.); and
Wireless devices attached to a network port or network device.",,"Jon Brown",,"No approvals assigned","Not ready","In scope","SC-15-00, CM-08-03"
"DCF-71","Unique Accounts Used","Unique user IDs are used for authentication to systems.",,,"Jon Brown",,"No approvals assigned","Ready","In scope","AC-02-00, AC-03-00, AC-05-00, AC-06-00, AC-06-01, IA-02-00, IA-04-00"
"DCF-72","Unique SSH","SSH users use unique accounts to access production machines. Additionally, the use of the “Root” account is not allowed.","Does the organization have controls in place to ensure that accounts are unique to an individual employee and not shared across multiple employees?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","AC-06-05, AC-17-02, IA-02-01, IA-02-02, IA-02-08, IA-04-04, IA-05-00, IA-05-01"
"DCF-230","Unnecessary Default Accounts Removed/Disabled","Montage Marketing Group ensures that unnecessary default accounts are removed or disabled before installing a system on the network.","Are unnecessary default accounts removed or disabled before installing a system on the network?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","AC-02-02, AC-02-03, AC-06-05"
"DCF-236","Update Configuration Standards after New Vulnerabilities","Montage Marketing Group ensures that system configuration standards are updated as new vulnerability issues are identified, as defined in Requirement 6.1.","Are system configuration standards updated as new vulnerability issues are identified, as defined in Requirement 6.1?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","RA-07-00, RA-05-02"
"DCF-234","Updated Firmware on Wireless Devices","Montage Marketing Group ensures that firmware on wireless devices is updated to support strong encryption for authentication and transmission over wireless networks.","Is firmware on wireless devices updated to support strong encryption for authentication and transmission over wireless networks?",,"Jon Brown","Jon Brown","Needs approval","Not ready","In scope","AC-19-05, SI-02-00"
"DCF-342","User Authentication Methods","Montage Marketing Group ensures that in addition to assigning a unique ID, ensure proper user-authentication management for non-consumer users and administrators on all system components by employing at least one of the following methods to authenticate all users: 
* Something you know, such as a password or passphrase 
* Something you have, such as a token device or smart card 
* Something you are, such as a biometric.","In addition to assigning a unique ID, is one or more of the following methods employed to authenticate all users?
Something you know, such as a password or passphrase
Something you have, such as a token device or smart card
Something you are, such as a biometric",,"Jon Brown",,"No approvals assigned","Not ready","In scope","IA-03-00, IA-04-00, IA-04-04, IA-05-00, IA-05-01, IA-05-02"
"DCF-338","User ID Lockout After Repeated Access Attempts","Montage Marketing Group limits repeated access attempts by locking out the user ID after not more than six attempts.","Are repeated access attempts limited by locking out the user ID after no more than six attempts?",,"Jon Brown","Jon Brown","Needs approval","Not ready","In scope","AC-07-00"
"DCF-126","Users Can Update their Information","Users can correct, amend, or append their personal information by logging into the application and navigating to their settings and profile.","Does the organization provide the ability for users to correct, amend, or append their personal information?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","SI-18-00, SI-18-04"
"DCF-57","Vendor Compliance Reports","Montage Marketing Group obtains and reviews compliance reports (e.g., SOC 2, ISO, PCI) or other evidence for critical vendors and service providers at least annually to monitor the third parties' compliance with industry frameworks, regulations, standards and Montage Marketing Group's requirements. Results of the review and action items, if any, are documented.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","SA-09-02, SR-03-00"
"DCF-229","Vendor Default Accounts Disabled, Removed or Changed","All vendor-supplied default accounts are either disabled or removed, or their default password is changed in accordance with the company's policy and compliance requirements.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","AC-02-02, AC-06-05"
"DCF-168","Vendor Management Policy","Montage Marketing Group has a documented policy that outlines requirements for managing vendor and third party relationships.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","AC-20-00, SC-07-04, PS-07-00, SA-04-00, SA-09-00, SA-04-01, SA-04-02, SA-09-02, SR-01-00, SR-02-01, SR-06-00, SR-08-00, SR-11-01, SR-11-02"
"DCF-251","Vendor Management Security Policies and Operational Procedures Documented and Accessible","Montage Marketing Group ensures that security policies and operational procedures for managing vendor defaults and other security parameters are documented, in use, and known to all affected parties.","Are security policies and operational procedures for managing vendor defaults and other security parameters: 
Documented
In use
Known to all affected parties?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","SA-09-00, SA-09-02"
"DCF-56","Vendor Register and Agreements","Montage Marketing Group maintains a vendor/third party register that includes description for each of the services provided, risk ratings and tracking of vendor governance activities. Agreements with vendors and service providers involved in accessing, processing, storing or managing information assets are reviewed to validate they address all relevant requirements prior to execution.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","SA-09-00, SR-08-00"
"DCF-589","Verified External Systems Controls","External systems used to access Montage Marketing Group's systems are properly vetted or have verified controls in place.","Are external systems used for system access properly vetted or have verified controls in place?","1. Verify that the external system has implemented controls in line with %s's security and privacy policies; or,
2. If applicable, retain approved system connection or processing agreements with the organizational entity hosting the external system.","Jon Brown","Jon Brown","Needs approval","Not ready","In scope","AC-20-01"
"DCF-4","Version Control System","Montage Marketing Group uses a version control system to manage source code, documentation, release labeling, and other change management tasks. Access to the system must be approved by a system admin.","Does the organization utilize version control software to govern the technical configuration change control processes?","Use a version control system to manage source code.
Ensure access to the system is approved by an admin.","Jon Brown",,"No approvals assigned","Not ready","In scope","CM-03-02"
"DCF-152","Virtual Machine OS are Patched Monthly","Montage Marketing Group ensures that virtual machine OS patches are applied monthly.","Does the organization ensure the integrity of virtual machine images at all times?","1. Apply OS patches on virtual machines monthly","Jon Brown","Jon Brown","Needs approval","Not ready","In scope","SI-02-00, SI-02-02"
"DCF-378","Visitor Log","Montage Marketing Group maintains a visitor log to keep an audit trail of visitor activity to the company facilities, computer rooms or data centers where sensitive data may be stored or transmitted.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","PE-08-00"
"DCF-379","Visitor Log Inclusions","Montage Marketing Group' visitor log includes, at a minimum, the visitor’s name and the organization represented, the date and time of the visit, and the name of the personnel authorizing physical access.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","PE-08-03, PE-08-00"
"DCF-380","Visitor Log Retention","Montage Marketing Group retains visitor logs for a minimum of three months, unless otherwise restricted by law.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","PE-08-00"
"DCF-183","Vulnerability Management Policy","Montage Marketing Group has a defined policy that establishes requirements for vulnerability management across the organization, including monitoring, cataloging, and assigning risk ratings to vulnerabilities to prioritize remediation efforts.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","CA-01-00, CA-02-00, RA-07-00, RA-08-00, RA-05-00, RA-05-11"
"DCF-88","Web Application Firewall","A web application firewall is in place to protect public-facing web applications from outside threats.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","SC-05-00"
"DCF-451","Wireless Access Point Automated Monitoring Alerts","Montage Marketing Group ensures that if automated monitoring is utilized, monitoring is configured to generate alerts to notify personnel.","If automated monitoring is utilized (for example, wireless IDS/IPS, NAC, etc.), is monitoring configured to generate alerts to notify personnel?",,"Jon Brown","Jon Brown","Needs approval","Not ready","In scope","AC-17-03"
"DCF-448","Wireless Access Point Detection and Identification","Montage Marketing Group conducts tests (either through manual verification or automated mechanisms) to identify the presence of authorized and unauthorized wireless (Wi-Fi) access points at least once every three months. If automated monitoring is used, personnel are notified via generated alerts. Results are documented.",,,,,"No approvals assigned","Not ready","Out of scope",
"DCF-587","Wireless Configuration Authorization","Montage Marketing Group identifies and explicitly authorizes users that are allowed to independently configure wireless networking capabilities.","Has the organization identified and explicitly authorized users that are allowed to independently configure wireless networking capabilities?","1. Identify and explicitly authorize users to configure wireless networking capabilities.",,,"No approvals assigned","Not ready","Out of scope",
"DCF-588","Wireless Transmission Power Levels Reduced","Montage Marketing Group calibrates the transmission power levels of selected radio antennas.","Are wireless transmission power levels calibrated?","1. Select radio antennas
2. Calibrate transmission power levels",,,"No approvals assigned","Not ready","Out of scope",
